sequence_id,time,bpm,crash,has_crash_seq,crash_start
0,0,81.12567679370969,0,0,-1
0,1,82.53652386829651,0,0,-1
0,2,79.60997108531576,0,0,-1
0,3,77.65670182502228,0,0,-1
0,4,77.8484624297732,0,0,-1
0,5,77.37409854125784,0,0,-1
0,6,77.3488968050014,0,0,-1
0,7,76.06933091364104,0,0,-1
0,8,77.38842787593528,0,0,-1
0,9,78.5551157790787,0,0,-1
0,10,78.65416182542053,0,0,-1
0,11,80.34502363587258,0,0,-1
0,12,81.04628764925064,0,0,-1
0,13,79.75734895492579,0,0,-1
0,14,80.31047513104954,0,0,-1
0,15,78.87215122980605,0,0,-1
0,16,80.18982668176696,0,0,-1
0,17,80.11493781528758,0,0,-1
0,18,79.83764426996969,0,0,-1
0,19,78.81624995336378,0,0,-1
0,20,80.65006196137483,0,0,-1
0,21,80.41826773827162,0,0,-1
0,22,79.77577600502697,0,0,-1
0,23,79.24757567929463,0,0,-1
0,24,80.04603945762464,0,0,-1
0,25,80.59420555417076,0,0,-1
0,26,81.21330447156474,0,0,-1
0,27,81.85953597607656,0,0,-1
0,28,85.07200737738225,0,0,-1
0,29,84.46238485280533,0,0,-1
1,0,77.92396913386324,0,1,20
1,1,79.61742757294458,0,1,20
1,2,79.44650638646226,0,1,20
1,3,78.18627167101847,0,1,20
1,4,76.94954984748162,0,1,20
1,5,77.92543902921867,0,1,20
1,6,79.04032028602383,0,1,20
1,7,79.85505168848162,0,1,20
1,8,78.85678712754859,0,1,20
1,9,79.20502911214867,0,1,20
1,10,79.38005782585975,0,1,20
1,11,79.70809072095327,0,1,20
1,12,81.01523388787555,0,1,20
1,13,81.35062721103758,0,1,20
1,14,82.36899755564542,0,1,20
1,15,82.47036615987876,0,1,20
1,16,82.90404525791374,0,1,20
1,17,83.85097759667154,0,1,20
1,18,81.66524386688805,0,1,20
1,19,81.1857370423521,0,1,20
1,20,78.84269566900711,0,1,20
1,21,77.70092214509513,0,1,20
1,22,74.959983059269,0,1,20
1,23,70.40568068701324,0,1,20
1,24,69.04265148335476,0,1,20
1,25,69.00159115691882,0,1,20
1,26,67.10506877008143,0,1,20
1,27,67.07497530451789,0,1,20
1,28,64.19356684778033,0,1,20
1,29,61.751620634733925,0,1,20
2,0,74.3591210304952,0,1,15
2,1,74.59693056711028,0,1,15
2,2,75.53531615806128,0,1,15
2,3,75.07129634848091,0,1,15
2,4,75.75645920481703,0,1,15
2,5,74.76357029321706,0,1,15
2,6,74.21898952336944,0,1,15
2,7,73.64638268237195,0,1,15
2,8,71.8526232139884,0,1,15
2,9,72.58308193516677,0,1,15
2,10,71.8789784248627,0,1,15
2,11,71.89771960295423,0,1,15
2,12,72.61883959131309,0,1,15
2,13,73.28863635535801,1,1,15
2,14,74.2867140188172,1,1,15
2,15,73.03596161375731,1,1,15
2,16,71.69275907629093,1,1,15
2,17,68.78607856341526,1,1,15
2,18,64.97304694059781,1,1,15
2,19,62.58308843463868,1,1,15
2,20,62.47442907338619,1,1,15
2,21,62.18197942179925,1,1,15
2,22,61.1810411606908,1,1,15
2,23,59.260938967172734,1,1,15
2,24,55.558045084082906,1,1,15
2,25,55.06110292170286,1,1,15
2,26,50.87497708044975,1,1,15
2,27,48.71655193730384,1,1,15
2,28,47.081134217763534,1,1,15
2,29,46.053212134274226,0,1,15
3,0,82.03878136286066,0,1,19
3,1,83.29144823173253,0,1,19
3,2,83.8267548204568,0,1,19
3,3,86.02170915728614,0,1,19
3,4,84.23856457580186,0,1,19
3,5,83.27893727667724,0,1,19
3,6,81.88907336456896,0,1,19
3,7,81.3043586598353,0,1,19
3,8,79.23932943850083,0,1,19
3,9,80.19205585872244,0,1,19
3,10,79.85872181307428,0,1,19
3,11,77.6525123713203,0,1,19
3,12,76.12914374950898,0,1,19
3,13,76.59941452068428,0,1,19
3,14,77.85660437252585,0,1,19
3,15,80.85170071006353,0,1,19
3,16,85.22249440907451,0,1,19
3,17,85.84410855898851,0,1,19
3,18,84.35980137894072,0,1,19
3,19,80.12778063165997,0,1,19
3,20,77.36702418375141,0,1,19
3,21,75.90565482540104,0,1,19
3,22,75.21230362790297,0,1,19
3,23,73.36627908526684,0,1,19
3,24,69.00977448213068,0,1,19
3,25,66.97511142732944,0,1,19
3,26,66.45504131762698,0,1,19
3,27,64.74566993802848,0,1,19
3,28,61.68828985589696,0,1,19
3,29,62.72141496828488,0,1,19
4,0,68.64560923286946,0,0,-1
4,1,70.04296875218083,0,0,-1
4,2,70.62039520133962,0,0,-1
